id;name;link
72YaW0qzTA5qhjTiqfWGcA;Card: 1;Do you think people more people look down on you or up to you? Why?
0WHa5jrkrBmDUmoxvET2UK;Card: 2;What question do you most want an answer to?
1we0oKR8V2MNs5oaOz6jee;Card: 3;What are some of the telltale signs of a shallow person?
2QBlliEYWGoR9s8mrPoXDu;Card: 4;What do you look forward to most in the day?
0wlKqBXFFqodaBBI4uzzwl;Card: 5;If you could instantly learn a talent or skill, what would you want to know how to do?
2dZ7dgju8dInx2gXibDyIn;Card: 6;When is your favorite time of day?
03ZTIUUHEH89auWyBThlgl;Card: 7;What are the best and worst things about the period of history we are living through?
1lsRLYHQQLU3aovZU25VLA;Card: 8;What’s the most rewarding thing in your daily routine?
78TFFpkeeJivkWqgEh6o8e;Card: 9;What weird thing stresses you out more than it should?
2E4IvvEcGP6uYjYttXmvAc;Card: 10;When do you feel like you are really in your element?
3BBSIryd0pl0zn0qEDEdB7;Card: 11;How likely are you to believe in conspiracy theories?
6cYQ2krqpnAy8kHLPM7X2d;Card: 12;What are some alcohol-induced stories of your younger days?
